epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.40754,1.06725,3.50627,1.51278,0.62034,0.87623,0.88804,0.61381,1.39432,1.2695,1.25255,0,0,0
2,9.46798,1.13262,2.78369,1.44062,0.59817,0.89589,0.88796,0.62334,1.42527,1.28459,1.26193,1.17822e-06,1.17822e-06,1.17822e-06
3,10.0561,1.01992,2.12271,1.26485,0.59328,0.88081,0.88627,0.62488,1.42622,1.31311,1.26314,2.33288e-06,2.33288e-06,2.33288e-06
4,10.9956,1.04949,2.95909,1.3974,0.5373,0.83333,0.87431,0.61096,1.4453,1.34664,1.27016,3.46397e-06,3.46397e-06,3.46397e-06
5,11.8537,1.30876,2.36012,1.6343,0.60953,0.83333,0.87219,0.59079,1.46837,1.39907,1.28622,4.5715e-06,4.5715e-06,4.5715e-06
6,12.6029,0.78401,2.36974,1.16061,0.82597,0.56667,0.87221,0.56927,1.48382,1.4685,1.29917,5.65548e-06,5.65548e-06,5.65548e-06
7,13.3696,1.33315,3.63256,1.64026,0.81403,0.56667,0.88305,0.57166,1.50038,1.53193,1.31217,6.71588e-06,6.71588e-06,6.71588e-06
8,14.0965,1.25841,3.8248,1.65066,0.81122,0.57328,0.81105,0.58134,1.50603,1.63252,1.32173,7.75273e-06,7.75273e-06,7.75273e-06
9,15.2406,0.81368,2.67083,1.25827,0.80769,0.58006,0.7724,0.57027,1.52248,1.66619,1.33397,8.76602e-06,8.76602e-06,8.76602e-06
10,15.9518,0.93918,2.25027,1.29418,0.79771,0.58333,0.74273,0.55835,1.52452,1.70233,1.34084,9.75574e-06,9.75574e-06,9.75574e-06
11,16.7095,1.2864,2.61448,1.591,0.78547,0.58333,0.74185,0.55729,1.52061,1.67227,1.33954,1.07219e-05,1.07219e-05,1.07219e-05
12,17.5118,0.98604,2.36779,1.31939,0.75558,0.58333,0.74174,0.55685,1.50127,1.69519,1.3307,1.16645e-05,1.16645e-05,1.16645e-05
13,18.217,1.37891,3.0621,1.71412,0.6993,0.58333,0.74167,0.52398,1.52789,1.75639,1.33709,1.25835e-05,1.25835e-05,1.25835e-05
14,18.9284,1.04585,2.42324,1.4955,0.68117,0.58333,0.74166,0.55692,1.5305,1.80652,1.34347,1.3479e-05,1.3479e-05,1.3479e-05
15,19.726,1.3124,2.8175,1.60056,0.94024,0.37526,0.74277,0.55703,1.53288,1.83055,1.34786,1.43509e-05,1.43509e-05,1.43509e-05
16,20.4302,1.21904,1.84929,1.4884,0.94094,0.37849,0.74271,0.50738,1.51802,1.8328,1.33773,1.51993e-05,1.51993e-05,1.51993e-05
17,21.1927,0.97073,1.63667,1.30805,0.94104,0.37998,0.74253,0.5411,1.51375,1.86191,1.3445,1.60241e-05,1.60241e-05,1.60241e-05
18,21.8947,0.66233,1.36962,1.00684,0.94104,0.37998,0.74253,0.5411,1.51375,1.86191,1.3445,1.68253e-05,1.68253e-05,1.68253e-05
19,22.6507,0.76259,1.66387,1.06467,0.94002,0.3804,0.63167,0.47428,1.52602,1.91925,1.35389,1.7603e-05,1.7603e-05,1.7603e-05
20,23.4669,1.11854,1.80391,1.35879,0.94002,0.3804,0.63167,0.47428,1.52602,1.91925,1.35389,1.83571e-05,1.83571e-05,1.83571e-05
21,24.2503,0.82692,1.83596,1.24437,0.93881,0.38333,0.63163,0.45412,1.56834,2.00303,1.37641,1.90876e-05,1.90876e-05,1.90876e-05
22,24.9387,0.98909,1.73701,1.20702,0.93881,0.38333,0.63163,0.45412,1.56834,2.00303,1.37641,1.97946e-05,1.97946e-05,1.97946e-05
23,25.762,0.96943,1.7295,1.40666,0.93803,0.38333,0.61748,0.4461,1.59228,2.07066,1.39522,2.0478e-05,2.0478e-05,2.0478e-05
24,26.4247,0.92319,1.4815,1.28245,0.93803,0.38333,0.61748,0.4461,1.59228,2.07066,1.39522,2.11379e-05,2.11379e-05,2.11379e-05
25,27.1253,0.87723,1.92863,1.23983,0.93897,0.38055,0.61806,0.43373,1.61775,2.15655,1.41193,2.17741e-05,2.17741e-05,2.17741e-05
26,27.9003,0.79567,1.27227,1.14888,0.93897,0.38055,0.61806,0.43373,1.61775,2.15655,1.41193,2.23869e-05,2.23869e-05,2.23869e-05
27,28.599,1.00278,1.52776,1.36108,0.93922,0.37444,0.59169,0.45044,1.70326,2.27569,1.46918,2.2976e-05,2.2976e-05,2.2976e-05
28,29.3168,0.94851,1.1224,1.26371,0.93922,0.37444,0.59169,0.45044,1.70326,2.27569,1.46918,2.35417e-05,2.35417e-05,2.35417e-05
29,30.0335,0.9249,1.3992,1.26023,0.93815,0.3741,0.58816,0.44817,1.70236,2.2981,1.47644,2.40837e-05,2.40837e-05,2.40837e-05
30,30.6994,0.98327,1.27791,1.31913,0.93815,0.3741,0.58816,0.44817,1.70236,2.2981,1.47644,2.46022e-05,2.46022e-05,2.46022e-05
31,31.4052,0.91506,1.68045,1.3178,0.934,0.37318,0.57632,0.44713,1.71096,2.38039,1.49766,2.50971e-05,2.50971e-05,2.50971e-05
32,32.0883,0.73799,1.57738,1.30851,0.934,0.37318,0.57632,0.44713,1.71096,2.38039,1.49766,2.55685e-05,2.55685e-05,2.55685e-05
33,32.9026,1.06507,1.70999,1.33589,0.92509,0.37262,0.57634,0.43064,1.68273,2.39639,1.49863,2.60163e-05,2.60163e-05,2.60163e-05
34,33.6078,1.23326,1.8765,1.57529,0.92509,0.37262,0.57634,0.43064,1.68273,2.39639,1.49863,2.64405e-05,2.64405e-05,2.64405e-05
35,34.345,0.88702,1.14394,1.24956,0.92868,0.37309,0.49471,0.35523,1.67044,2.39076,1.49046,2.68412e-05,2.68412e-05,2.68412e-05
36,35.103,0.91933,1.41874,1.31703,0.92868,0.37309,0.49471,0.35523,1.67044,2.39076,1.49046,2.72183e-05,2.72183e-05,2.72183e-05
37,35.8172,1.0108,1.02684,1.32796,0.93101,0.37344,0.49487,0.35554,1.66314,2.36548,1.48728,2.75718e-05,2.75718e-05,2.75718e-05
38,36.4891,0.60898,0.92947,0.96948,0.93101,0.37344,0.49487,0.35554,1.66314,2.36548,1.48728,2.79018e-05,2.79018e-05,2.79018e-05
39,37.3146,0.70327,0.75531,1.15942,0.93287,0.37361,0.49521,0.35568,1.67178,2.34992,1.48759,2.82082e-05,2.82082e-05,2.82082e-05
40,37.9919,0.70797,0.89093,1.1163,0.93287,0.37361,0.49521,0.35568,1.67178,2.34992,1.48759,2.84911e-05,2.84911e-05,2.84911e-05
41,38.6995,0.9286,1.01274,1.18586,0.93113,0.3735,0.49691,0.35825,1.67454,2.29543,1.48192,2.87504e-05,2.87504e-05,2.87504e-05
42,39.9071,0.82366,1.05073,1.12501,0.93113,0.3735,0.49691,0.35825,1.67454,2.29543,1.48192,2.89861e-05,2.89861e-05,2.89861e-05
43,40.5977,0.99113,1.32451,1.48396,0.9298,0.37329,0.49669,0.38438,1.6661,2.29848,1.4745,2.91983e-05,2.91983e-05,2.91983e-05
44,41.2573,0.65651,0.96462,1.10421,0.9298,0.37329,0.49669,0.38438,1.6661,2.29848,1.4745,2.93869e-05,2.93869e-05,2.93869e-05
45,41.9377,0.69143,1.24551,1.10973,0.93066,0.37333,0.4152,0.30893,1.68837,2.2893,1.48545,2.9552e-05,2.9552e-05,2.9552e-05
46,42.5905,0.81103,1.00613,1.21589,0.93066,0.37333,0.4152,0.30893,1.68837,2.2893,1.48545,2.96935e-05,2.96935e-05,2.96935e-05
47,43.305,0.79137,0.92042,1.2319,0.9404,0.37481,0.41525,0.30906,1.68677,2.31692,1.48055,2.98114e-05,2.98114e-05,2.98114e-05
48,43.959,0.83609,1.0577,1.19019,0.9404,0.37481,0.41525,0.30906,1.68677,2.31692,1.48055,2.99058e-05,2.99058e-05,2.99058e-05
49,44.636,0.92575,1.23328,1.30339,0.94738,0.38792,0.41898,0.32099,1.70424,2.32368,1.50099,2.99766e-05,2.99766e-05,2.99766e-05
50,45.3805,0.62965,0.85007,1.11094,0.94738,0.38792,0.41898,0.32099,1.70424,2.32368,1.50099,3.00238e-05,3.00238e-05,3.00238e-05
51,46.0972,0.78772,1.00973,1.2103,0.9492,0.38735,0.4194,0.30824,1.7086,2.33506,1.49039,3.00475e-05,3.00475e-05,3.00475e-05
52,46.7732,0.77723,1.49384,1.17312,0.9492,0.38735,0.4194,0.30824,1.7086,2.33506,1.49039,3.00476e-05,3.00476e-05,3.00476e-05
53,47.4382,0.61061,1.02394,1.04714,0.9492,0.38735,0.4194,0.30824,1.7086,2.33506,1.49039,3.00242e-05,3.00242e-05,3.00242e-05
54,48.1339,0.71848,0.96683,1.08495,0.94797,0.38771,0.42354,0.30292,1.70171,2.31368,1.47625,2.99772e-05,2.99772e-05,2.99772e-05
55,48.93,0.77783,1.22503,1.20478,0.94797,0.38771,0.42354,0.30292,1.70171,2.31368,1.47625,2.99066e-05,2.99066e-05,2.99066e-05
56,49.629,0.67799,0.84691,1.19568,0.94797,0.38771,0.42354,0.30292,1.70171,2.31368,1.47625,2.98125e-05,2.98125e-05,2.98125e-05
57,50.3217,0.65354,0.71225,1.18794,0.94825,0.38724,0.42292,0.30548,1.71548,2.3185,1.47542,2.96948e-05,2.96948e-05,2.96948e-05
58,50.9992,1.08017,1.26734,1.38151,0.94825,0.38724,0.42292,0.30548,1.71548,2.3185,1.47542,2.95535e-05,2.95535e-05,2.95535e-05
59,51.6805,0.75025,0.7763,1.21865,0.94825,0.38724,0.42292,0.30548,1.71548,2.3185,1.47542,2.93887e-05,2.93887e-05,2.93887e-05
60,52.3986,0.8169,0.99795,1.33433,0.94725,0.38713,0.42438,0.29966,1.72394,2.29603,1.49331,2.92003e-05,2.92003e-05,2.92003e-05
61,53.3899,0.57722,0.87109,1.05975,0.94725,0.38713,0.42438,0.29966,1.72394,2.29603,1.49331,2.89884e-05,2.89884e-05,2.89884e-05
62,54.0468,0.66023,0.93814,1.1853,0.94725,0.38713,0.42438,0.29966,1.72394,2.29603,1.49331,2.87529e-05,2.87529e-05,2.87529e-05
63,54.7488,0.56657,0.79272,1.08193,0.94972,0.38703,0.42386,0.30389,1.72442,2.29933,1.49177,2.84938e-05,2.84938e-05,2.84938e-05
64,55.4941,0.73859,0.91195,1.09314,0.94972,0.38703,0.42386,0.30389,1.72442,2.29933,1.49177,2.82112e-05,2.82112e-05,2.82112e-05
65,56.2594,0.68143,0.71386,1.08536,0.94972,0.38703,0.42386,0.30389,1.72442,2.29933,1.49177,2.7905e-05,2.7905e-05,2.7905e-05
66,56.9688,0.90957,1.78882,1.32006,0.94541,0.38798,0.426,0.30362,1.70687,2.28436,1.46368,2.75753e-05,2.75753e-05,2.75753e-05
67,57.6326,0.82407,0.83254,1.24886,0.94541,0.38798,0.426,0.30362,1.70687,2.28436,1.46368,2.7222e-05,2.7222e-05,2.7222e-05
68,58.421,0.55159,0.71755,1.01104,0.94541,0.38798,0.426,0.30362,1.70687,2.28436,1.46368,2.68451e-05,2.68451e-05,2.68451e-05
69,59.1007,0.81289,0.99555,1.30822,0.94478,0.38812,0.42592,0.30415,1.70393,2.29196,1.45043,2.64447e-05,2.64447e-05,2.64447e-05
70,59.9907,0.84092,1.05624,1.26597,0.94478,0.38812,0.42592,0.30415,1.70393,2.29196,1.45043,2.60207e-05,2.60207e-05,2.60207e-05
71,60.6709,0.59722,0.70171,1.11467,0.94478,0.38812,0.42592,0.30415,1.70393,2.29196,1.45043,2.55731e-05,2.55731e-05,2.55731e-05
72,61.4904,0.61627,0.85563,1.15091,0.94453,0.38922,0.42661,0.30452,1.70562,2.30417,1.4515,2.5102e-05,2.5102e-05,2.5102e-05
73,62.1829,0.60692,0.67109,1.11387,0.94453,0.38922,0.42661,0.30452,1.70562,2.30417,1.4515,2.46073e-05,2.46073e-05,2.46073e-05
74,62.9025,1.06395,1.61869,1.55724,0.94453,0.38922,0.42661,0.30452,1.70562,2.30417,1.4515,2.40891e-05,2.40891e-05,2.40891e-05
75,63.7085,0.85803,0.86982,1.15621,0.94441,0.38959,0.42493,0.30179,1.72935,2.37433,1.47235,2.35472e-05,2.35472e-05,2.35472e-05
76,64.377,0.87468,1.00494,1.27343,0.94441,0.38959,0.42493,0.30179,1.72935,2.37433,1.47235,2.29819e-05,2.29819e-05,2.29819e-05
77,65.1172,0.65289,0.65512,1.08881,0.94441,0.38959,0.42493,0.30179,1.72935,2.37433,1.47235,2.23929e-05,2.23929e-05,2.23929e-05
78,65.9147,0.60508,0.9071,1.09531,0.94091,0.39018,0.42601,0.30456,1.71798,2.34808,1.45582,2.17805e-05,2.17805e-05,2.17805e-05
79,66.5694,0.74209,1.21955,1.28707,0.94091,0.39018,0.42601,0.30456,1.71798,2.34808,1.45582,2.11444e-05,2.11444e-05,2.11444e-05
80,67.2367,0.55075,0.69577,1.07971,0.94091,0.39018,0.42601,0.30456,1.71798,2.34808,1.45582,2.04848e-05,2.04848e-05,2.04848e-05
81,68.3316,0.73317,0.79178,1.12885,0.93419,0.38907,0.42656,0.30252,1.71915,2.37697,1.45346,1.98016e-05,1.98016e-05,1.98016e-05
82,68.9887,0.36611,0.42881,0.90162,0.93419,0.38907,0.42656,0.30252,1.71915,2.37697,1.45346,1.90949e-05,1.90949e-05,1.90949e-05
83,69.6382,0.7001,0.63468,1.08919,0.93419,0.38907,0.42656,0.30252,1.71915,2.37697,1.45346,1.83646e-05,1.83646e-05,1.83646e-05
84,70.316,0.87728,1.40026,1.30531,0.93209,0.39002,0.42668,0.30251,1.72707,2.37564,1.45268,1.76107e-05,1.76107e-05,1.76107e-05
85,71.1056,0.59956,0.79155,1.1481,0.93209,0.39002,0.42668,0.30251,1.72707,2.37564,1.45268,1.68333e-05,1.68333e-05,1.68333e-05
86,71.7796,0.66916,0.84293,1.17474,0.93209,0.39002,0.42668,0.30251,1.72707,2.37564,1.45268,1.60323e-05,1.60323e-05,1.60323e-05
87,72.4425,0.53237,0.61463,1.0461,0.93209,0.39002,0.42668,0.30251,1.72707,2.37564,1.45268,1.52077e-05,1.52077e-05,1.52077e-05
88,73.1783,0.60026,0.95958,1.06102,0.93648,0.39189,0.42767,0.30219,1.74855,2.37505,1.481,1.43596e-05,1.43596e-05,1.43596e-05
89,73.9449,0.66782,0.58927,1.13819,0.93648,0.39189,0.42767,0.30219,1.74855,2.37505,1.481,1.34879e-05,1.34879e-05,1.34879e-05
90,74.7048,0.80504,0.69893,1.08302,0.93648,0.39189,0.42767,0.30219,1.74855,2.37505,1.481,1.25927e-05,1.25927e-05,1.25927e-05
91,83.1798,0.62788,0.54466,1.08822,0.93648,0.39189,0.42767,0.30219,1.74855,2.37505,1.481,1.16739e-05,1.16739e-05,1.16739e-05
92,83.8779,0.41346,0.51327,0.88053,0.93562,0.39054,0.42988,0.30361,1.74435,2.35524,1.45816,1.07315e-05,1.07315e-05,1.07315e-05
93,84.5432,0.39756,0.45034,0.9326,0.93562,0.39054,0.42988,0.30361,1.74435,2.35524,1.45816,9.76562e-06,9.76562e-06,9.76562e-06
94,85.3207,0.61101,0.54735,1.0824,0.93562,0.39054,0.42988,0.30361,1.74435,2.35524,1.45816,8.77613e-06,8.77613e-06,8.77613e-06
