epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.684,3.00106,4.61213,2.10771,0.00802,0.66381,0.01944,0.01023,1.95339,3.43357,1.57253,7.08986e-05,7.08986e-05,7.08986e-05
2,143.575,1.81117,3.87076,1.54537,0.00961,0.82763,0.02305,0.01391,1.55947,3.14437,1.39565,0.000140494,0.000140494,0.000140494
3,212.155,1.56782,3.56162,1.42075,0.01042,0.9204,0.02939,0.01901,1.38702,2.96704,1.28178,0.000208683,0.000208683,0.000208683
4,280.433,1.43956,3.38192,1.33219,0.01073,0.95227,0.04158,0.02664,1.29916,2.90124,1.23827,0.000206674,0.000206674,0.000206674
5,348.524,1.35564,3.29425,1.27783,0.01113,0.96826,0.04717,0.03177,1.21539,2.84082,1.19151,0.000204565,0.000204565,0.000204565
6,417.519,1.29568,3.20687,1.24127,0.03599,0.32489,0.05686,0.03894,1.15973,2.79715,1.15547,0.000202457,0.000202457,0.000202457
7,485.813,1.25479,3.15022,1.21074,0.09229,0.15809,0.06174,0.04289,1.15846,2.76509,1.14557,0.000200348,0.000200348,0.000200348
8,553.718,1.21755,3.08796,1.18624,0.21739,0.08596,0.06993,0.04758,1.13823,2.72533,1.12261,0.000198239,0.000198239,0.000198239
